MIBiG accession	compound name	SMILES	PMID / DOI	Column1	Column2	Column3
BGC0000001	Abyssomicin C	C[C@@H](C1=O)C[C@H](C)C/C=C/[C@H]([C@@H](O)[C@@H]2OC3=C1C4=O)[C@]3(O4)C[C@H]2C	21656887			
BGC0000001	Atrop-abyssomicin C	C[C@@H](C1=O)C[C@H](C)C/C=C/[C@H]([C@@H](O)[C@@H]2OC3=C1C4=O)[C@]3(O4)C[C@H]2C	21656887			
BGC0000002	aculeximycin	CCC[C@H]([C@@H](C)[C@H]([C@H](CC)/C=C/[C@@H]([C@@H](C)[C@@H]1C/C=C(/[C@H]([C@H]([C@@H](C[C@H]([C@H]([C@@H](CC2C[C@@H]([C@H]([C@](O2)(C[C@H]([C@H](CC[C@H](C[C@H](C/C=C(/C(=O)O1)\CC)O)O)C)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C)O)O[C@H]4C[C@H]([C@@H]([C@H](O4)C)O)N)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C)O)O)O)O)O)O)O)C)O)O[C@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)\C)O)O)O[C@H]7C[C@]([C@@H]([C@@H](O7)C)O)(C)N	25301375			
BGC0000003	AF-toxin	CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O				
BGC0000004	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	16391082			
BGC0000005	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	8953728,12749588,11956746			
BGC0000006	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	15528514			
BGC0000007	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	12382060,15528514			
BGC0000008	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	15528514			
BGC0000009	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	15528514			
BGC0000010	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1				
BGC0000011	aflatoxin	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1				
BGC0000011	sterigmatocystin	COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O				
BGC0000012	alternapyrone	CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C	6436801,16356847			
BGC0000013	alternariol	CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O	22510154			
BGC0000014	ambruticin	CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C	17185223			
BGC0000015	amphotericin	C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	11451671,16079135			
BGC0000016	Amphotericin B	C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	15563836			
BGC0000017	Anatoxin-a	CC(=O)C1=CCC[C@@H]2CC[C@H]1N2	25108149, 24311576, 21786780, 20675499, 19954230, 19489636, 19447947, 21873484, 23277585			
BGC0000017	Homoanatoxin-a	CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2	25108149, 24311576, 21786780, 20675499, 19954230, 19489636, 19447947, 21873484, 23277585			
BGC0000018	angolamycin	CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC				
BGC0000019	angolamycin	CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC				
BGC0000020	ansamitocin	CC1C2CC(C(/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O	12060743			
BGC0000021	apoptolidin	C[C@@H]1/C=C(/C=C(/C=C(/C(=O)O[C@@H](C[C@@H]([C@H](CC/C=C(/C=C/[C@H]1O[C@H]2[C@H]([C@@H]([C@H]([C@@H](O2)C)OC)O)O)\C)O)OC)[C@H]([C@]3([C@@H]([C@H]([C@H]([C@H](O3)C[C@H](COC)OC4C[C@]([C@H]([C@@H](O4)C)O[C@H]5C[C@H]([C@@H]([C@H](O5)C)O)OC)(C)O)C)O)C)O)O)\C)\C)\C	21869849			
BGC0000022	asperfuranone	CC[C@H](C)/C=C(\C)/C=C/C(=O)C1=C2C[C@H]([C@](C(=O)C2=CO1)(C)O)O	19199437			
